               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11342,            0.027708,                   0,            0.031787,                 0.3,            0.020041,           0.0055694,            0.075131,            0.015177,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11722,            0.025621,                   0,             0.02663,                0.25,            0.016741,           0.0051503,             0.07279,            0.015766,                   0,            0.097299,          0.00029941,          0.00029941
                   2,             0.11189,            0.027828,                   0,            0.023689,                0.25,            0.018637,           0.0059636,            0.068584,            0.016607,                   0,            0.095498,          0.00049802,          0.00049802
                   3,             0.10926,            0.031426,                   0,            0.021121,                 0.2,            0.025792,           0.0094817,            0.062679,            0.017686,                   0,            0.093696,          0.00069584,          0.00069584
                   4,             0.10079,            0.036502,                   0,            0.038586,                 0.3,            0.032914,           0.0091025,            0.056902,             0.01847,                   0,            0.091893,          0.00089287,          0.00089287
                   5,            0.097792,            0.035773,                   0,            0.056993,                 0.3,            0.048151,           0.0091257,            0.052127,            0.018892,                   0,            0.090089,           0.0010891,           0.0010891
                   6,            0.090988,            0.033848,                   0,            0.066492,                 0.1,             0.05999,            0.012996,            0.048846,            0.018798,                   0,            0.088285,           0.0012846,           0.0012846
                   7,            0.085448,            0.039135,                   0,             0.11957,                 0.3,             0.11509,             0.02858,            0.045273,            0.018591,                   0,            0.086479,           0.0014792,           0.0014792
                   8,            0.078686,            0.040213,                   0,              0.2618,                 0.7,             0.33289,             0.11005,            0.039846,            0.018856,                   0,            0.084673,           0.0016731,           0.0016731
                   9,            0.077621,            0.038034,                   0,             0.20636,                 0.9,              0.5412,             0.17248,            0.037762,            0.018261,                   0,            0.082866,           0.0018661,           0.0018661
                  10,            0.074219,            0.034514,                   0,             0.43109,                0.65,             0.58675,             0.19313,            0.037039,            0.017386,                   0,            0.081058,           0.0020584,           0.0020584
                  11,            0.067135,            0.044153,                   0,             0.44182,             0.51495,              0.5665,             0.15941,            0.037568,            0.016241,                   0,             0.07925,           0.0022499,           0.0022499
                  12,            0.066787,            0.040699,                   0,              0.4537,                0.75,             0.62332,             0.28336,            0.035481,            0.015341,                   0,            0.077441,           0.0024406,           0.0024406
                  13,            0.073366,             0.02924,                   0,             0.12959,                0.45,             0.13822,            0.048353,            0.046245,            0.014607,                   0,            0.075631,           0.0026305,           0.0026305
                  14,            0.069373,            0.036004,                   0,               0.327,                0.85,             0.43347,             0.19137,             0.03679,            0.015376,                   0,             0.07382,           0.0028196,           0.0028196
                  15,            0.065093,             0.02957,                   0,              0.2881,                0.75,             0.31323,             0.15426,            0.038457,            0.016393,                   0,            0.072008,           0.0030079,           0.0030079
                  16,            0.059105,            0.029381,                   0,             0.38927,                0.95,             0.56772,             0.24076,            0.030106,            0.016243,                   0,            0.070195,           0.0031955,           0.0031955
                  17,            0.059083,            0.030192,                   0,             0.72189,                 0.5,             0.63346,             0.27006,            0.042358,            0.016409,                   0,            0.068382,           0.0033822,           0.0033822
                  18,            0.063962,            0.025602,                   0,             0.41427,                 0.6,             0.50118,             0.24571,            0.046989,            0.015358,                   0,            0.066568,           0.0035681,           0.0035681
                  19,            0.069239,             0.02197,                   0,             0.49491,              0.5883,             0.59932,             0.29758,            0.044055,             0.01391,                   0,            0.064753,           0.0037533,           0.0037533
                  20,            0.062988,            0.029181,                   0,              0.4878,                 0.4,             0.55296,             0.27602,            0.045285,             0.01297,                   0,            0.062938,           0.0039376,           0.0039376
                  21,            0.062399,            0.029001,                   0,             0.55386,                0.85,             0.74362,              0.3924,            0.046681,            0.012203,                   0,            0.061121,           0.0041212,           0.0041212
                  22,            0.065216,            0.023345,                   0,             0.65724,                0.65,             0.68638,             0.37889,            0.043397,              0.0117,                   0,            0.059304,            0.004304,            0.004304
                  23,            0.064745,            0.026704,                   0,             0.54167,                 0.7,             0.66164,              0.3428,            0.040163,            0.011367,                   0,            0.057486,            0.004486,            0.004486
                  24,            0.059423,             0.02036,                   0,             0.66715,                 0.8,             0.79085,              0.4551,            0.040071,           0.0097748,                   0,            0.055667,           0.0046672,           0.0046672
                  25,            0.059531,             0.02297,                   0,             0.27781,                0.85,             0.38277,             0.15643,            0.042995,            0.010511,                   0,            0.053848,           0.0048475,           0.0048475
                  26,            0.066517,            0.025981,                   0,             0.58686,                 0.9,             0.71109,             0.27977,            0.039136,            0.010161,                   0,            0.052027,           0.0050272,           0.0050272
                  27,            0.062211,            0.028879,                   0,             0.45586,             0.92183,             0.65639,             0.22565,            0.039185,            0.010101,                   0,            0.050206,            0.005206,            0.005206
                  28,            0.064959,            0.021673,                   0,             0.36229,                0.75,             0.45087,             0.18911,             0.04639,           0.0097854,                   0,            0.048384,            0.005384,            0.005384
                  29,            0.072398,            0.019929,                   0,             0.38863,              0.8583,             0.48306,             0.21999,            0.041581,           0.0093604,                   0,            0.046561,           0.0055612,           0.0055612
                  30,            0.065679,            0.018891,                   0,             0.47623,                0.75,             0.56846,             0.25342,            0.036458,           0.0094706,                   0,            0.044738,           0.0057377,           0.0057377
                  31,            0.061161,            0.023418,                   0,             0.52912,                 0.9,             0.68244,              0.3714,            0.034418,           0.0089356,                   0,            0.042913,           0.0059133,           0.0059133
                  32,            0.061242,            0.029176,                   0,             0.58698,              0.7821,             0.62614,              0.2529,            0.037786,           0.0091705,                   0,            0.041088,           0.0060882,           0.0060882
                  33,            0.055255,            0.026884,                   0,             0.62606,                0.95,             0.82218,             0.43561,            0.030534,           0.0093025,                   0,            0.039262,           0.0062622,           0.0062622
                  34,             0.05408,            0.021351,                   0,             0.52202,                0.95,             0.55961,             0.21467,            0.043048,            0.010014,                   0,            0.037435,           0.0064355,           0.0064355
                  35,            0.059429,            0.022155,                   0,             0.54526,             0.83961,             0.64541,             0.30496,            0.038732,           0.0092455,                   0,            0.035608,            0.006608,            0.006608
                  36,            0.058698,            0.020957,                   0,             0.51541,                 0.9,             0.68484,             0.26639,            0.039837,           0.0091285,                   0,             0.03378,           0.0067797,           0.0067797
                  37,            0.057081,            0.020854,                   0,             0.46757,                 0.9,             0.68694,             0.26467,            0.038812,           0.0093614,                   0,            0.031951,           0.0069505,           0.0069505
                  38,            0.052053,            0.018305,                   0,             0.54995,                0.95,             0.66056,             0.29764,            0.036303,           0.0087812,                   0,            0.030121,           0.0071207,           0.0071207
                  39,            0.055054,            0.019556,                   0,             0.50715,                0.85,             0.65596,             0.26063,            0.035295,           0.0086881,                   0,             0.02829,             0.00729,             0.00729
                  40,            0.045842,            0.019771,                   0,             0.57501,             0.81211,             0.72833,             0.44411,            0.030765,           0.0084214,                   0,            0.026458,           0.0074585,           0.0074585
                  41,            0.046138,            0.020365,                   0,             0.67663,                0.95,             0.79629,             0.38073,             0.03225,           0.0082809,                   0,            0.024626,           0.0076262,           0.0076262
                  42,            0.052247,            0.017394,                   0,             0.56613,                 0.8,             0.68945,             0.35379,            0.031362,           0.0081348,                   0,            0.022793,           0.0077931,           0.0077931
